SYMBOL,hv20,hv50,hv100,LAST_CLOSE_DT,CLOSE_PX,curiv,Days,Percentile
CHMA,771,0,0,2020-31-01,4.72,81.25,14,71
CHNG,34,33,39,2020-31-01,15.52,46.95,416,12
CHRS,61,54,57,2020-30-01,18.04,64.49,582,21
CHRW,31,24,35,2020-31-01,72.22,22.07,600,44
CHS,69,74,65,2020-31-01,3.89,61.64,600,79
CHT,10,9,8,2020-31-01,35.76,14.17,396,43
CHTR,23,18,19,2020-31-01,517.46,20.44,600,3
CHU,30,26,25,2020-31-01,8.35,44.3,573,99
CHUY,24,26,33,2020-31-01,24.55,41.07,600,62
CHWY,47,48,52,2020-31-01,26.51,48.17,156,18
CI,29,24,26,2020-31-01,192.38,35.94,599,96
CIA,35,34,32,2020-28-01,6.06,36.27,459,30
CIB,19,20,21,2020-31-01,52.47,25.04,94,54
CIBR,15,13,14,2020-31-01,31.13,20.31,482,57
CIEN,27,49,40,2020-31-01,40.67,37.22,600,62
CIG,44,44,41,2020-31-01,3.46,56.46,153,67
CIM,9,11,12,2020-30-01,21.2,98.36,59,100
CINF,17,14,16,2020-31-01,104.95,26.04,599,99
CIO,23,20,19,2019-16-12,13.52,17.66,13,15
CIR,29,25,25,2020-31-01,41.53,43.4,572,54
CISN,0,7,81,2019-11-09,9.99,55.09,300,96
CIT,41,29,28,2020-31-01,45.71,26.56,600,79
CIVB,22,19,19,2020-31-01,22.01,24.5,292,19
CKH,23,27,30,2020-31-01,37.59,36.68,577,94
CL,25,18,18,2020-31-01,73.78,17.29,600,27
CLAR,34,28,33,2020-31-01,13.22,39.58,529,60
CLB,33,62,56,2020-31-01,35.13,42.03,600,80
CLBK,9,12,13,2020-06-01,16.77,21.65,162,50
CLBS,87,75,82,2020-31-01,2.91,81.82,385,23
CLCT,23,28,38,2020-31-01,24.56,38.71,535,42
CLDR,35,39,39,2020-31-01,10.29,55.25,600,42
CLDT,16,14,15,2020-10-01,16.35,12.19,221,0
CLDX,74,66,65,2020-31-01,2.32,88.21,393,20
CLF,32,49,51,2020-31-01,7.02,55.32,600,70
CLFD,35,29,32,2020-31-01,12.72,44,588,38
CLGX,17,14,29,2020-31-01,46.5,32.02,600,96
CLH,23,18,23,2020-31-01,82.22,30.14,599,68
CLI,25,29,25,2020-31-01,21.96,20.78,566,44
CLLS,38,52,49,2020-28-01,15.47,64.24,569,66
CLMT,58,54,58,2020-31-01,4.16,58.43,600,50
CLNE,74,74,62,2020-31-01,2.3,60.48,523,32
CLNY,32,31,34,2020-31-01,4.67,43.45,308,72
CLR,38,36,53,2020-31-01,27.22,50.06,600,87
CLS,25,26,32,2020-31-01,9.04,38.94,419,80
CLSD,131,147,153,2020-31-01,3.77,124.72,200,73
CLSN,54,81,94,2020-21-01,1.44,168.75,419,84
CLUB,160,108,116,2020-31-01,2.1,94.17,501,94
CLVS,115,165,154,2020-31-01,8.29,111.48,600,86
CLW,94,66,58,2020-31-01,28.2,76.76,599,99
CLX,14,12,14,2020-31-01,157.31,23.44,600,85
CM,9,14,13,2020-31-01,81.47,14.6,600,48
CMA,25,21,23,2020-31-01,61.16,23.37,600,30
CMC,27,23,31,2020-31-01,20.55,34.62,600,56
CMCM,51,51,58,2020-31-01,3.46,63.32,600,56
CMCO,31,34,33,2020-31-01,34.99,41.97,599,90
CMCSA,24,21,19,2020-31-01,43.19,20.13,600,23
CMD,32,30,31,2020-31-01,65.06,41.67,594,90
CME,14,15,20,2020-31-01,217.11,21.52,600,76
CMG,13,15,23,2020-31-01,866.76,39.04,600,82
CMI,20,17,20,2020-31-01,159.97,27.12,600,82
CMO,17,18,19,2019-11-11,8.22,16.25,64,18
CMP,14,17,28,2020-31-01,57.89,27.91,600,61
CMPR,56,45,37,2020-31-01,119.63,37.81,600,40
CMRE,83,57,49,2020-31-01,7.93,53.13,521,98
CMRX,75,96,97,2020-28-01,1.65,125.94,243,84
CMS,9,11,14,2020-31-01,68.51,12.92,575,14
CMTL,80,53,50,2020-31-01,28.91,44.55,600,56
CNA,20,17,17,2020-31-01,44.63,18.23,573,25
CNAT,211,131,130,2019-24-06,0.44,163.33,412,75
CNC,33,28,34,2020-31-01,62.81,45.42,600,97
CNCE,139,96,106,2020-31-01,10.68,102.5,591,96
CNDT,44,48,51,2020-31-01,4.28,79.77,600,98
CNET,116,90,90,2020-24-01,1.26,135,396,78
CNHI,38,29,29,2020-31-01,9.42,29.9,344,38
CNI,17,16,16,2020-31-01,93.44,18.26,600,53
CNK,29,23,21,2020-31-01,31.51,30.96,599,91
CNMD,16,17,22,2020-31-01,101.68,28.54,519,57
CNNE,27,26,35,2020-30-01,40.66,68.21,390,99
CNO,22,21,24,2020-31-01,17.59,28.13,600,79
CNOB,13,14,18,2020-31-01,23.61,26.06,276,19
CNP,20,20,23,2020-31-01,26.48,17.11,600,77
CNQ,26,27,35,2020-31-01,28.13,29.38,600,69
CNR,27,41,49,2020-31-01,8.58,49.02,599,50
CNS,37,27,26,2020-31-01,73.98,21.44,346,34
CNSL,73,65,73,2020-31-01,4.83,67.66,524,82
CNST,64,87,137,2020-31-01,33.04,92.53,433,95
CNTY,32,33,39,2020-31-01,8.33,37.42,557,28
CNX,54,54,59,2020-31-01,7.23,58.68,600,88
CNXM,26,26,29,2020-31-01,15.39,18.96,493,1
CNXN,42,35,34,2020-31-01,49.84,46.37,569,98
CNXT,30,26,23,2020-31-01,28.8,26.39,594,74
CNYA,29,23,23,2019-11-09,31.1,18.68,180,21
CO,37,38,44,2020-31-01,4.65,48.16,550,36
CODI,24,33,30,2020-31-01,23.29,30.68,190,95
COF,26,20,19,2020-31-01,99.8,21.27,600,34
COG,39,34,33,2020-31-01,14.09,38.11,600,91
COHR,45,37,37,2020-31-01,141.43,52.46,600,76
COHU,42,37,37,2020-31-01,22.37,49.42,600,76
COLB,20,16,18,2020-22-01,38.7,19.69,406,1
COLD,44,0,0,2020-31-01,34.47,24.15,21,90
COLL,61,53,71,2020-31-01,20.11,69.31,433,43
COLM,20,24,23,2020-31-01,93.92,36.19,600,96
COMM,41,35,63,2020-31-01,12.19,58.27,600,89
CONE,32,26,24,2020-31-01,60.85,24.05,596,38
CONN,35,97,73,2020-31-01,8.76,59.87,600,57
COO,17,15,16,2020-31-01,346.89,23.25,600,35
COOP,47,36,0,2020-31-01,12.38,43.76,76,35
COP,19,22,29,2020-31-01,59.43,27.42,600,71
COR,13,14,20,2020-31-01,117.45,19.8,595,43
CORE,23,25,45,2020-31-01,23.44,41.85,600,47
CORN,17,14,15,2020-31-01,14.42,18.87,514,42
CORR,13,15,19,2020-31-01,45.6,17.06,573,37
CORT,31,64,52,2020-31-01,12.67,52.83,600,13
CORV,0,281,211,2019-05-12,0.33,218.57,423,99
COST,15,13,13,2020-31-01,305.52,18.93,600,49
COT,36,26,24,2020-31-01,15.29,33.07,566,78
COTY,34,30,42,2020-31-01,10.26,51.81,600,84
COUP,29,31,45,2020-31-01,161.15,47.15,600,55
COW,18,14,17,2020-31-01,40.7,18.94,580,18
COWN,24,24,24,2020-31-01,16.07,31.05,597,6
CP,17,17,18,2020-31-01,265.81,19.8,600,35
CPA,30,23,24,2020-31-01,97.96,35.07,600,70
CPB,13,15,15,2020-31-01,48.39,21.57,600,16
CPE,49,66,73,2020-31-01,3,72.35,600,93
CPF,13,12,16,2020-31-01,27.73,17.4,547,1
CPG,55,51,52,2020-17-01,3.29,50.31,521,50
CPK,13,14,15,2020-21-01,96.21,18.29,64,12
CPL,26,24,26,2019-18-12,17.36,30.77,309,50
CPLG,35,31,44,2020-31-01,9.15,42.6,285,80
CPLP,34,28,25,2020-31-01,12.5,33.75,107,19
CPRI,35,40,38,2020-31-01,29.96,53.45,600,85
CPRT,12,16,17,2020-31-01,101.46,32.3,600,87
CPRX,65,58,75,2020-31-01,4.11,106.78,537,58
CPS,58,55,52,2020-31-01,26.52,65.15,560,98
CPSI,24,23,35,2020-31-01,26,36.95,576,65
CPSS,35,40,51,2019-31-12,3.48,67.5,168,82
CPT,11,14,13,2020-29-01,112.43,14.83,551,29
CPTA,17,16,21,2019-06-08,8.69,98.75,2,100
CQP,24,24,23,2020-31-01,38.67,16.4,600,12
CR,19,17,24,2020-31-01,85.46,23.7,600,47
CRAI,23,20,30,2020-31-01,53.28,35.52,587,65
CRBP,44,48,48,2020-31-01,6.47,70.15,600,48
CRC,76,104,139,2020-31-01,7.34,91.99,600,69
CRCM,4.3,34,41,2019-19-12,14.97,49.86,572,56
CREE,44,40,42,2020-31-01,46.49,38.01,600,28
CRESY,48,69,57,2020-31-01,5.62,60.87,473,80
CRH,16,17,18,2020-31-01,37.59,19.45,555,3
CRI,25,24,25,2020-31-01,106.07,29.26,600,60
CRIS,75,94,91,2020-24-01,1.59,113.75,174,31
CRK,57,53,61,2020-31-01,5.53,59.68,600,14
CRL,14,14,19,2020-31-01,154.58,27.37,600,37
CRM,24,20,21,2020-31-01,182.31,25.8,600,40
CRMD,38,56,66,2020-31-01,6.35,76.18,266,20
CRMT,24,34,30,2020-30-01,109.78,36.15,586,13
CRNC,58,52,0,2020-31-01,21.35,73.48,45,88
CRNT,59,62,96,2020-31-01,2.06,86.61,482,86
CROC,14,14,13,2020-31-01,61.58,13.88,533,7
CRON,83,79,72,2020-31-01,7.18,81.53,478,60
CROP,13,12,12,2020-22-01,30.65,18.19,308,71
CROX,28,31,41,2020-31-01,37.91,47.37,600,46
CRS,32,34,35,2020-31-01,39.74,38.7,600,88
CRSP,32,64,62,2020-31-01,51.95,71.26,590,57
CRTO,77,50,49,2020-31-01,15.39,58.6,600,89
CRUS,44,33,41,2020-31-01,76.81,35.96,600,39
CRVL,22,17,22,2019-19-12,91.57,21.49,520,0
CRVS,95,129,113,2020-31-01,5.52,136.25,45,82
CRWD,43,45,66,2020-31-01,61.09,52.4,158,4
CRWS,24,32,41,2019-29-08,6.35,32.5,30,43
CRY,14,22,30,2020-31-01,29.74,38.36,597,61
CS,21,18,20,2020-31-01,12.61,22.42,586,6
CSCO,20,18,22,2020-31-01,45.97,27.94,600,83
CSD,14,13,14,2019-29-11,47.37,16.6,254,43
CSFL,26,19,20,2020-31-01,22.56,24.84,566,52
CSGP,20,22,23,2020-30-01,652.99,31.54,139,92
CSGS,24,23,27,2020-31-01,49.82,32.47,598,77
CSII,31,28,47,2020-31-01,45.39,53.33,600,84
CSIQ,32,35,46,2020-31-01,20.05,48.96,600,60
CSL,16,18,23,2020-31-01,156.23,27.65,566,84
CSLT,129,103,91,2019-30-07,1.24,86.67,362,85
CSOD,24,22,22,2020-31-01,58.8,28.75,600,3
CSTE,26,25,28,2020-31-01,13.08,40.39,599,42
CSTM,35,31,37,2020-31-01,11.36,63.06,600,88
CSU,44,45,47,2020-31-01,2.79,94.79,600,98
CSV,17,24,34,2020-31-01,23.67,32.58,594,73
CSWC,9,15,16,2019-18-10,21.01,15.7,46,39
CSX,21,18,20,2020-31-01,76.34,23.07,600,35
CTAS,16,16,19,2020-31-01,278.97,22.05,600,44
CTB,22,24,29,2020-31-01,26.49,38.64,600,85
CTBI,18,15,16,2020-31-01,43.75,21.62,48,83
CTG,69,54,44,2020-23-01,5.96,63.68,386,98
CTIC,64,118,103,2020-31-01,1.19,129.17,407,75
CTL,37,30,37,2020-31-01,13.66,44.71,600,89
CTLT,17,19,22,2020-31-01,61.1,42.18,575,92
CTMX,58,71,65,2020-31-01,7.42,66.61,287,40
CTRA,70,78,125,2020-23-01,5.79,73.75,260,12
CTRC,63,83,76,2020-31-01,1.99,93.13,334,7
CTRE,19,19,25,2020-31-01,22.18,22.21,418,69
CTRN,30,27,28,2020-31-01,23.29,43.24,600,43
CTS,26,22,39,2020-31-01,29.31,34.64,573,90
CTSH,14,12,15,2020-31-01,61.38,26.17,600,81
CTSO,47,58,63,2020-31-01,4.94,92.17,576,97
CTST,125,122,129,2019-10-09,1.07,146.25,127,92
CTT,23,20,22,2019-04-09,10.26,21.98,157,62
CTVA,31,30,30,2020-31-01,28.92,29.02,168,7
CTXS,30,20,18,2020-31-01,121.22,19.15,600,11
CUB,31,62,47,2020-31-01,65.29,41.07,596,89
CUBE,14,15,18,2020-31-01,31.67,17.34,550,23
CUBI,32,25,27,2020-31-01,21.38,34.41,580,55
CUK,32,30,30,2020-27-01,41.1,37.22,524,97
CULP,38,38,40,2020-31-01,12.63,37.08,570,52
CURE,38,30,34,2020-31-01,67.31,51.58,599,88
CURO,55,48,46,2020-31-01,10.41,68.01,402,73
CUTR,41,33,39,2020-31-01,28.18,65.1,540,78
CUZ,15,14,16,2020-31-01,40.93,20.22,188,90
CVA,20,16,28,2020-31-01,14.98,23.13,464,61
CVBF,18,15,18,2020-31-01,20.77,19.8,544,3
CVCO,35,27,28,2020-27-01,224.02,47,57,87
CVCY,22,18,21,2019-31-12,18.79,23.13,132,16
CVE,26,28,37,2020-31-01,8.71,53.28,600,89
CVEO,97,90,97,2020-31-01,1.34,123.33,514,93
CVET,52,49,66,2020-31-01,12.3,66.54,232,72
CVGI,34,32,36,2020-31-01,4.99,50.16,596,26
CVGW,22,24,21,2020-31-01,76.61,33.55,598,69
CVI,24,23,27,2020-31-01,34.61,29.52,599,16
CVIA,53,95,96,2020-23-01,1.6,89.53,178,41
CVLT,24,23,23,2020-31-01,45.02,29.21,600,38
CVM,127,89,78,2020-31-01,13.04,152.08,258,84
CVNA,45,46,49,2020-31-01,79.25,58.86,600,33
CVS,22,18,20,2020-31-01,67.82,34.35,600,95
CVTI,53,38,38,2020-31-01,12.69,58.57,591,95
CVX,17,16,19,2020-31-01,107.14,17.31,600,43
CVY,11,10,12,2019-29-11,22.49,9.45,23,21
CW,15,14,16,2020-31-01,145.43,22.29,600,34
CWB,7,7,8,2020-31-01,57.24,10.96,594,61
CWCO,24,19,26,2020-31-01,17.11,27.34,388,34
CWEB,51,49,54,2020-31-01,27.13,57.35,364,56
CWEN,20,19,30,2020-31-01,21.17,23.74,520,58
CWH,57,49,52,2020-31-01,15.57,57.86,600,65
CWI,14,12,11,2019-29-11,26.2,12.5,148,42
CWK,17,22,28,2020-31-01,19.22,30.76,293,38
CWST,20,20,27,2020-31-01,51.19,32.35,600,58
CWT,19,19,20,2020-31-01,52.56,19.96,598,12
CX,61,46,45,2020-31-01,4.04,41.38,600,88
CXDC,62,70,62,2020-30-01,1.81,101.56,398,76
CXO,34,32,31,2020-31-01,75.78,42.97,600,90
CXP,22,18,19,2020-28-01,21.1,22.81,357,86
CXW,33,28,30,2020-31-01,15.95,39.42,600,90
CY,4.3,5,4.9,2019-04-12,23.33,14.19,510,8
CYB,6,7,7,2020-30-01,25,10.47,92,78
CYBR,31,27,35,2020-31-01,138.23,51.25,600,89
CYD,23,24,26,2020-30-01,12.92,31.84,566,12
CYH,96,82,81,2020-31-01,4.29,93.74,600,72
CYOU,37,25,21,2020-23-01,10.67,28.36,515,21
CYRX,56,47,51,2020-31-01,17.91,54.76,440,11
CYTK,48,50,65,2020-31-01,12.3,92.64,587,83
CZR,13,12,13,2020-21-01,13.67,15.98,459,1
CZZ,33,29,29,2020-31-01,22.09,39.88,526,69
D,11,11,12,2020-31-01,85.75,15.06,600,53
DAC,0,0,0,2020-17-01,5.61,72.03,2,100
DAKT,30,36,31,2019-23-12,5.9,36.88,424,63
DAL,27,23,21,2020-31-01,55.74,27.23,600,68
DAN,35,33,37,2020-31-01,15.41,43.19,600,80
DAR,31,27,27,2020-31-01,27.13,30.37,600,65
DB,37,35,37,2020-31-01,9.15,34.44,600,35
DBA,12,13,12,2020-31-01,15.65,26.3,410,97
DBB,13,13,13,2019-28-08,14.1,31.75,327,100
DBC,11,14,14,2020-31-01,14.58,24.9,374,94
DBD,57,76,86,2020-31-01,11.51,81.73,600,79
DBE,21,21,24,2020-31-01,12.59,24.38,518,70
DBEF,13,12,11,2019-23-10,33.13,9.19,94,7
DBEU,13,11,11,2019-12-11,31.78,13.59,212,78
DBI,34,54,45,2020-31-01,14.24,48.59,600,80
DBJP,15,12,12,2019-17-12,42.24,13.52,149,4
DBO,27,27,29,2020-30-01,9.08,32.28,434,75
DBP,11,10,12,2020-31-01,43.08,14.39,514,40
DBS,19,16,20,2020-31-01,25.73,22.02,538,56
DBV,7,8,7,2019-26-11,24.05,10,70,22
DBVT,82,64,60,2020-31-01,9.73,83.61,523,59
DBX,22,24,30,2020-31-01,17.02,54.52,463,73
DCI,17,17,18,2020-31-01,51.85,28.16,589,93
DCO,30,37,43,2020-31-01,40.93,44.69,590,76
DCOM,16,14,29,2020-31-01,19.41,16.64,270,1
DCP,28,42,36,2020-31-01,21.03,26.15,596,61
DCPH,36,51,47,2020-31-01,62.63,64.27,149,20
DD,38,31,30,2020-31-01,51.18,30.59,600,86
DDD,66,50,44,2020-31-01,10.89,75.38,600,92
DDG,19,19,23,2019-24-12,24.52,25.25,250,77
DDM,24,21,20,2020-31-01,54.52,31.52,599,74
DDOG,43,49,0,2020-31-01,46.21,70.76,83,65
DDS,43,39,52,2020-31-01,60.72,49.19,600,59
DE,23,22,20,2020-31-01,158.58,27.89,600,60
DEA,14,14,13,2020-31-01,24.21,13.48,168,40
DEAC,47,36,0,2020-31-01,14.53,66.66,12,100
DECK,32,28,29,2020-31-01,190.91,31.81,600,11
DEI,19,18,15,2020-31-01,41.5,17.53,565,84
DELL,27,29,27,2020-31-01,48.77,32.93,594,46
DEM,20,16,15,2020-31-01,42.05,14.43,598,50
DENN,17,18,19,2020-31-01,20.47,37.71,572,89
DEO,15,13,15,2020-31-01,157.95,14.61,600,25
DERM,49,69,81,2020-15-01,18.95,19.46,586,0
DES,14,12,12,2020-28-01,26.77,14.36,502,62
DESP,65,52,46,2020-31-01,14.81,36.86,314,0
DFE,12,12,12,2020-31-01,62.57,16.36,591,82
DFEN,41,39,45,2020-27-01,61.41,50.37,452,44
DFIN,39,38,49,2020-31-01,9.06,41.25,596,53
DFJ,13,13,12,2019-16-12,72.61,9.03,142,5
DFS,48,32,26,2020-31-01,75.13,21.29,600,48
DG,18,15,15,2020-31-01,153.41,22.1,600,36
DGICA,16,17,18,2019-30-12,13.95,26.25,247,56
DGII,37,32,39,2020-31-01,15.8,50.17,558,97
DGL,10,10,11,2020-31-01,47.21,14.6,476,74
DGLY,61,69,79,2019-17-06,1.03,95.48,24,66
DGRO,11,9,10,2020-30-01,41.44,9.86,107,27
DGRW,12,10,10,2020-27-01,47.72,13.27,145,38
DGS,18,14,12,2020-31-01,44.24,14.59,600,50
DGX,13,11,14,2020-31-01,110.67,20.33,600,53
DHC,37,35,39,2020-31-01,7.72,31.25,166,57
DHI,20,21,22,2020-31-01,59.2,23.24,600,5
DHR,23,18,20,2020-31-01,160.87,20.64,600,65
DHT,50,50,49,2020-31-01,5.63,52.12,582,93
DHX,45,43,61,2020-31-01,2.8,65.01,484,55
DIA,12,10,10,2020-31-01,282.42,14.45,600,71
DIG,36,35,39,2020-31-01,20.08,42.34,598,80
DIN,23,22,25,2020-31-01,85.25,34.02,600,34
DIOD,28,25,28,2020-31-01,51.64,46.68,600,94
DIS,18,16,21,2020-31-01,138.31,32.57,600,99
DISCA,23,20,28,2020-31-01,29.26,29.41,600,6
DISCK,22,19,27,2020-31-01,27.77,32.13,600,17
DISH,12,17,22,2020-31-01,36.76,44.95,600,67
DJP,10,11,13,2020-29-01,20.88,15.95,584,61
DK,30,32,34,2020-31-01,27.46,38.7,600,45
DKL,13,19,19,2020-16-01,31.96,15.16,563,0
DKS,21,45,35,2020-31-01,44.23,39.44,600,52
DL,69,62,56,2019-22-11,9.05,63.17,448,94
DLB,10,12,18,2020-31-01,69.34,23.01,600,21
DLN,11,9,9,2020-30-01,104.05,9.54,524,18
DLNG,38,54,74,2020-03-01,2.03,96.25,235,84
DLPH,177,115,91,2020-31-01,15.34,33.8,533,23
DLR,19,19,19,2020-31-01,122.99,27.05,600,97
DLS,11,10,10,2019-16-12,67.82,6.64,242,55
DLTH,38,76,64,2020-31-01,8.45,62.75,599,84
DLTR,18,43,33,2020-31-01,87.07,32.04,600,78
DLX,18,17,23,2020-31-01,48.2,28.38,600,66
DMLP,58,41,35,2020-31-01,16.29,33.7,381,95
DMRC,42,47,55,2020-31-01,31.31,66.59,588,59
DNKN,12,13,19,2020-31-01,78.09,24.39,600,75
DNLI,134,93,75,2020-31-01,23.16,61.21,317,4
DNOW,37,30,40,2020-31-01,10.01,48.71,600,77
DNR,100,82,103,2020-31-01,0.99,83.95,594,40
DO,61,67,72,2020-31-01,4.63,87.08,600,97
DOC,14,19,17,2020-02-01,19.35,19.69,195,78
DOCU,23,29,30,2020-31-01,78.51,38.7,439,17
DOG,12,10,10,2020-31-01,49.79,16.94,464,65
DOMO,39,59,50,2020-31-01,24.22,67.87,385,52
DON,12,10,10,2019-27-12,36.98,14.69,338,73
DOOR,20,19,19,2020-31-01,75.11,35.19,593,67
DORM,30,25,31,2020-31-01,69.8,37.7,600,96
DOV,22,17,20,2020-31-01,113.85,23.22,600,64
DOW,36,29,30,2020-31-01,46.07,26.56,211,62
DOX,13,11,12,2020-31-01,71.95,24.2,600,94
DOYU,67,55,54,2020-31-01,8.09,70.61,121,87
DPK,39,34,32,2020-31-01,10.69,41.14,340,47
DPLO,16,100,138,2019-06-12,3.98,118.29,563,97
DPZ,11,19,21,2020-31-01,281.75,34.36,600,88
DQ,48,45,48,2020-31-01,50.58,58.74,600,23
DRD,52,54,58,2020-31-01,6.36,71.54,291,95
DRE,16,14,14,2020-29-01,36.31,14.1,341,14
DRH,20,22,21,2020-29-01,9.67,41.05,76,100
DRI,17,22,21,2020-31-01,116.43,19.86,600,20
DRIP,78,90,112,2020-31-01,101.49,108.75,599,83
DRN,33,38,34,2020-31-01,30.27,37.32,598,53
DRNA,53,60,55,2020-30-01,19.75,70.85,379,30
DRQ,34,31,40,2020-31-01,40.9,41.18,600,57
DRRX,148,130,105,2020-31-01,1.92,103.87,174,31
DRV,35,36,33,2020-31-01,25.11,39.58,592,37
DS,39,38,46,2020-28-01,3.78,52.19,504,75
DSKE,67,73,86,2020-31-01,3.04,101.63,486,89
DSL,10,11,9,2019-29-03,20.4,33.03,5,100
DSPG,26,23,23,2020-31-01,14.46,26.07,460,0
DSX,47,50,50,2020-31-01,2.64,39.24,563,6
DT,59,53,0,2020-31-01,31.31,52.57,67,14
DTE,10,10,12,2020-31-01,132.61,17.23,599,89
DTEA,87,78,80,2019-05-11,1.44,120.21,137,44
DTIL,76,0,0,2020-31-01,8.09,130.26,37,75
DTN,11,9,10,2020-28-01,90.78,12.01,505,46
DUG,36,35,39,2020-31-01,48.2,45.37,596,81
DUK,8,10,12,2020-31-01,97.63,12,600,16
DUST,80,74,80,2020-31-01,5.66,73.72,600,63
DVA,21,17,29,2020-31-01,79.87,34.16,600,67
DVAX,63,74,73,2020-31-01,5.05,99.13,600,88
DVN,38,36,43,2020-31-01,21.72,48.15,600,92
DVY,10,8,9,2020-31-01,103.76,12.74,600,70
DWAS,13,13,14,2020-31-01,55.47,33.31,499,94
DWSN,67,65,74,2020-31-01,2.4,59.38,406,69
DWX,9,8,8,2020-27-01,40.44,13.13,202,90
DXC,29,29,48,2020-31-01,31.88,67.47,600,98
DXCM,20,26,48,2020-31-01,240.75,51.21,600,80
DXD,23,20,20,2020-31-01,22.91,32.9,588,70
DXJ,16,14,14,2020-31-01,51.57,17.45,600,71
DXJS,17,15,15,2019-02-10,42.17,20.35,434,92
DXLG,90,76,83,2019-23-05,1.11,132.71,303,100
DXPE,25,27,35,2020-31-01,34.67,60.47,599,95
DXYN,99,114,117,2019-05-11,1.43,85.63,195,74
DY,35,44,42,2020-31-01,40.42,56.4,600,91
DYAI,83,68,0,2020-31-01,5.79,141.25,34,100
E,21,17,16,2020-31-01,27.99,18.29,520,41
EA,19,16,18,2020-31-01,107.92,26.55,600,15
EAF,42,41,46,2020-31-01,10.73,62.24,427,84
EAT,28,27,29,2020-31-01,42.69,30.42,600,24
EB,32,38,52,2020-31-01,21.15,59.25,335,50
EBAY,27,20,23,2020-31-01,33.56,22.6,600,16
EBF,18,19,20,2020-31-01,20.86,19.55,585,5
EBIX,39,35,44,2020-31-01,34.43,47.72,600,78
EBND,5,5,6,2019-16-08,27.59,7.54,296,1
EBS,37,36,36,2020-31-01,55.09,42.64,586,60
EBSB,26,20,20,2020-31-01,17.99,28.13,463,81
EC,21,23,23,2020-31-01,18.5,30.47,565,23
ECH,22,23,30,2020-31-01,30.67,21.82,595,58
ECHO,38,33,34,2020-31-01,19.38,43.97,600,55
ECL,14,15,16,2020-31-01,196.11,21.76,600,86
ECNS,25,20,16,2020-06-01,38.06,22.55,275,78
ECOL,15,18,20,2020-31-01,54.01,28.46,523,46
ECOM,30,24,27,2020-31-01,9.36,42.63,600,22
ECON,18,14,13,2020-31-01,22.83,17.14,582,57
ECPG,21,22,29,2020-31-01,33.95,38.72,600,43
ED,12,11,13,2020-31-01,94,14.98,600,50
EDAP,47,48,50,2020-31-01,3.8,61.42,543,42
EDC,64,51,43,2020-31-01,72.86,58.23,600,82
EDIT,37,47,45,2020-31-01,26.43,69.29,600,72
EDIV,19,15,13,2020-31-01,29.54,15.37,579,68
EDU,42,33,37,2020-31-01,121.55,40.1,600,45
EDZ,60,49,42,2020-31-01,39.7,59.71,598,77
EE,3.1,4.4,4.4,2019-01-07,68.09,12.17,222,6
EEB,20,17,16,2020-31-01,37.44,9.14,595,0
EEFT,18,15,20,2020-31-01,157.64,33.14,600,78
EEM,22,18,15,2020-31-01,42.11,21.17,600,86
EEMV,14,12,10,2020-31-01,55.45,13.8,600,59
EET,42,33,29,2020-31-01,70.38,37.41,503,65
EEV,41,33,29,2020-31-01,39.67,40.45,582,64
EEX,21,23,29,2020-31-01,10.43,41.9,463,78
EFA,12,10,10,2020-31-01,67.48,14.96,600,86
EFAV,8,7,7,2020-31-01,74.3,10.68,590,59
EFC,13,12,11,2019-30-08,18.27,16.48,12,58
EFG,12,9,10,2020-31-01,85.35,12.04,462,49
EFSC,22,17,18,2020-31-01,43.51,24,539,34
EFU,22,19,20,2020-31-01,21.26,28.51,478,46
EFV,12,10,11,2020-31-01,47.81,14.04,408,55
EFX,17,16,19,2020-31-01,149.9,28.92,600,79
EFZ,12,11,11,2020-31-01,24.96,14.52,524,26
EGAN,30,34,35,2020-29-01,7.2,64.38,578,11
EGBN,14,17,20,2020-31-01,43.7,26.86,587,17
EGHT,35,36,34,2020-31-01,18.62,62.32,600,98
EGLE,42,46,45,2020-29-01,3.25,67.5,527,84
EGO,43,46,53,2020-31-01,7.28,53.92,412,10
EGOV,41,29,34,2020-31-01,19.73,29.05,597,16
EGP,13,14,14,2020-30-01,136.07,13.07,159,1
EGRX,26,28,29,2020-31-01,53.82,39.64,600,8
EGY,57,53,47,2020-31-01,2.24,55.94,242,4
EHC,34,23,26,2020-31-01,77.03,29.29,585,85
EHTH,101,67,64,2020-31-01,105.16,64.1,600,73
EIDO,23,17,17,2020-31-01,24.18,19.25,479,10
EIDX,38,46,63,2020-31-01,53.28,68.37,68,73
EIG,17,16,19,2020-31-01,42.65,24.23,564,45
EIGI,40,47,64,2020-30-01,4.72,52.34,593,66
EIGR,36,44,46,2020-31-01,12.36,73.71,251,8
EIX,15,18,26,2020-31-01,76.55,22.37,600,44
EL,24,18,21,2020-31-01,195.16,26.72,600,77
ELAN,37,29,28,2020-31-01,30.9,32.33,331,19
ELD,7,7,7,2019-05-12,35.27,6.09,264,12
ELF,38,36,42,2020-31-01,15.68,73.75,600,95
ELGX,125,109,104,2020-23-01,1,97.19,407,81
ELOX,146,141,0,2020-31-01,3.83,137.66,40,20
ELP,25,24,28,2020-24-01,17.08,28.47,466,4
ELS,13,17,17,2020-31-01,72.75,15.99,586,66
ELY,28,22,26,2020-31-01,21.42,37.04,600,79
